region_in_Russian,region_in_English,poverty_level_2022,entrepreneurship_income_2023,social_transfers_income_2023,mean_salary_2022,median_income_2022,Gini_coeff_2022,decile_coeff_2022,GRP_pc_2022,unemployment_2022,men_working_age_total_2022,relative_cost_of_living_2022,men_higher_educ_2020,population_2022,men_share_never_married_2022,men_share_divorced_2022,share_of_ethnic_russians_2024,men_longevity_2022,men_working_age_rural_2022,crimes_per_10_000_residents_2022,border_with_Ukraine,contract_payment_2023,square_km^2,Caucasus,casualties_mid_july_2025
Êàëèíèíãðàäñêàÿ îáëàñòü,Kaliningrad Oblast,10.8,13.4,20.5,47348.6,33519.6,0.343,4.9,710941.1,3.1,317645,1.03,0.290152187,1030979,0.239213767,0.117761713,91.3,68.53,77761,93.4,0,100000,15125,0,991
Êàëóæñêàÿ îáëàñòü,Kaluga Oblast,7.5,6,19.8,53909.9,30568.4,0.338,4.8,641434.4,3.9,333633,1.01,0.256632829,1073252,0.242950456,0.127192605,90.4,67.4,86693,112.2,0,100000,29777,0,711
Êàì÷àòñêèé êðàé,Kamchatka Krai,10.9,2.9,17.9,103539.9,39362.3,0.387,6.2,1229861.6,2.9,96275,1.4,0.304510546,292574,0.259595255,0.148091896,88.3,63.39,21056,132.9,0,150000,464275,0,473
Êàðà÷àåâî-×åðêåññêàÿ Ðåñïóáëèêà,Karachay-Cherkessia,21.5,14.7,31.6,35462.5,24968.7,0.324,4.5,264392.6,9.9,139326,0.93,0.341568507,469096,0.31218656,0.087797876,27.5,70.87,83814,75.1,0,100000,14277,1,213
Êåìåðîâñêàÿ îáëàñòü,Kemerovo Oblast,10.8,6.3,24.4,57652.6,34614.9,0.349,5.1,841095,4.1,746340,0.92,0.217328878,2592013,0.219873336,0.146550238,95.3,64.02,103799,138,0,200000,95725,0,2251
Êèðîâñêàÿ îáëàñòü,Kirov Oblast,10.6,7,27.1,40833.2,35050.5,0.351,5.1,479182.2,3.8,323981,0.92,0.212632491,1149176,0.229424984,0.110233684,92.8,65.35,72138,112.4,0,50000,120374,0,1902
Êîñòðîìñêàÿ îáëàñòü,Kostroma Oblast,9.5,11.7,23.9,40241.5,31590.9,0.347,5,478370.8,3.3,160375,0.96,0.219886303,577996,0.210130613,0.10579047,96.1,63.57,42721,101.1,0,50000,60211,0,581
Êðàñíîäàðñêèé êðàé,Krasnodar Krai,9.2,14.1,15.5,50251.9,26969.2,0.406,6.9,736249.7,3.5,1729083,0.97,0.252439039,5832042,0.219016536,0.12550752,92.4,68.22,744543,104.6,1,100000,75485,0,3475
Êðàñíîÿðñêèé êðàé,Krasnoyarsk Krai,14,7.7,20.5,71728.2,30038.2,0.383,6.1,1162729.6,2.7,849514,1,0.239886042,2856326,0.220796634,0.115720905,93.6,65.17,167886,120.7,0,100000,2366797,0,2439
Êóðãàíñêàÿ îáëàñòü,Kurgan Oblast,15.5,6.5,29.8,41791.7,35960.8,0.354,5.2,438395.4,6.4,208307,0.96,0.187205954,772332,0.204328426,0.108406781,93.4,63.25,75337,130.5,0,120000,71488,0,968
Êóðñêàÿ îáëàñòü ,Kursk Oblast,7.7,10.8,21.8,46059.2,32637.2,0.364,5.5,618600.5,2.9,310259,0.9,0.271,1078156,0.226947636,0.122474538,95.9,65.75,102459,95.9,1,100000,29997,0,828
Ëåíèíãðàäñêàÿ îáëàñòü,Leningrad Oblast,7,6.8,16.5,60007.5,53900.2,0.345,5,823931.1,3.4,645748,1.01,0.25629909,2006022,0.233485682,0.132817186,93.7,68.65,216143,112.4,0,300000,83908,0,1069
Ëèïåöêàÿ îáëàñòü,Lipetsk Oblast,7,12,20.3,46711.4,44910,0.372,5.7,689045.7,3.7,332680,0.89,0.259310605,1138140,0.231107545,0.139940084,96.7,66.46,127387,90.7,0,50000,24047,0,811
Ìàãàäàíñêàÿ îáëàñòü,Magadan Oblast,6.7,5.1,14.4,121461.8,59636.8,0.409,7,2334089,4.1,45194,1.34,0.29534112,135907,0.247120668,0.163091716,87.7,62.89,1701,131.7,0,150000,462464,0,207
Ìîñêâà,Moscow,4.8,4.4,9.6,125637.6,,0.416,7.3,2123057.7,2.3,3878865,1.25,0.448226913,13015126,0.267321632,0.125215818,90.2,74.46,0,83.3,0,600000,2561,0,1413
Ìîñêîâñêàÿ îáëàñòü ,Moscow Oblast,6,6.5,12.6,70704.6,28716.5,0.36,5.4,907486.1,3.1,2634956,1.09,0.365685733,8542257,0.228809558,0.111203492,92.2,69.65,601519,72.9,0,600000,44329,0,3307
Ìóðìàíñêàÿ îáëàñòü,Murmansk Oblast,7,3.4,19.3,87326.2,28133.1,0.346,5,1740425.5,4.7,213176,1.2,0.31131569,665240,0.234185287,0.121253725,89.9,64.44,18077,122.2,0,300000,144902,0,537
Íåíåöêèé àâòîíîìíûé îêðóã,Nenets Autonomous Okrug,7.6,1.6,15.1,106949,39447.1,0.441,8.3,11815172.8,7.3,12855,1.28,0.257009346,41426,0.284102778,0.098078128,69.6,64.81,3523,114.3,0,300000,176810,0,73
Íèæåãîðîäñêàÿ îáëàñòü,Nizhny Novgorod Oblast,7.5,6,19,48367.9,26286.8,0.393,6.4,735698,4.1,899280,0.98,0.27601307,3108918,0.226305995,0.115414318,95.2,65.57,191643,96,0,50000,76624,0,1935
Íîâãîðîäñêàÿ îáëàñòü,Novgorod Oblast,11.6,6.5,25.4,45247.3,28284.5,0.344,5,652401.2,3.1,164076,0.96,0.199854496,581578,0.226650813,0.129868004,95.4,64.4,46316,135.9,0,200000,54501,0,673
Íîâîñèáèðñêàÿ îáëàñòü,Novosibirsk Oblast,10.2,9,18.6,53756.8,29023.9,0.383,6.1,689280,4.7,808524,1,0.283845724,2797492,0.217499398,0.103884491,94.2,65.71,164659,125.2,0,100000,177756,0,2265
Îìñêàÿ îáëàñòü,Omsk Oblast,11.1,10.8,22.5,46952.3,30734.1,0.378,5.9,503176.3,5.3,532858,0.89,0.232282231,1851537,0.2372732,0.107794984,88.7,66,140977,92.7,0,100000,141140,0,1723
Îðåíáóðãñêàÿ îáëàñòü,Orenburg Oblast,11.6,10.8,25.2,43540.3,25996.2,0.368,5.6,847011.5,3.5,538213,0.91,0.228424105,1855781,0.220768899,0.118412348,79.3,65.55,214873,87.1,0,50000,123702,0,2343
Îðëîâñêàÿ îáëàñòü,Oryol Oblast,10.9,12.8,23.6,40843.4,29277.6,0.366,5.6,519457.9,4,204803,0.91,0.281815923,710023,0.230208713,0.126817134,95.3,65.29,68851,88.3,0,200000,24652,0,592
Ïåíçåíñêàÿ îáëàñòü,Penza Oblast,10.7,8.3,24.2,41307.2,30612,0.355,5.3,469186,3.7,367781,0.89,0.249082513,1261103,0.228263687,0.120192636,87.6,66.27,119614,81,0,50000,43352,0,963
